,Uniprot ID,Organism,Taxonomy-ID,Gene Name,HGNC number,Gene synonym,Recommended Name,Short Names,Alternative Names,OMIM,Catalytic: Reaction,Catalytic: Rhea,Catalytic: EC,Brenda,Reactome ID,CAZy,GeneID
73,Q6Y288,Homo sapiens,9606,B3GLCT,HGNC:20207;,B3GALTL,"Beta-1,3-glucosyltransferase",Beta3Glc-T;,Beta 3-glucosyltransferase;Beta-3-glycosyltransferase-like;,261540;610308;,,,,,R-HSA-5083635;R-HSA-5173214;,GT31;,145173;
74,P11166,Homo sapiens,9606,SLC2A1,HGNC:11005;,GLUT1,"Solute carrier family 2, facilitated glucose transporter member 1",,"Glucose transporter type 1, erythrocyte/brain;HepG2 glucose transporter;",138140;601042;606777;608885;612126;614847;,D-glucose(out) = D-glucose(in);,RHEA:60376;,,,R-HSA-189200;R-HSA-196836;R-HSA-422356;R-HSA-5619043;R-HSA-5653890;,,6513;
75,O95528,Homo sapiens,9606,SLC2A10,HGNC:13444;,GLUT10,"Solute carrier family 2, facilitated glucose transporter member 10",,Glucose transporter type 10;,208050;606145;,D-glucose(out) = D-glucose(in);,RHEA:60376;,,,R-HSA-189200;R-HSA-5619068;,,81031;
76,Q8TD20,Homo sapiens,9606,SLC2A12,HGNC:18067;,GLUT12,"Solute carrier family 2, facilitated glucose transporter member 12",,Glucose transporter type 12;,610372;,D-glucose(out) = D-glucose(in);,RHEA:60376;,,,R-HSA-189200;,,154091;
77,P11168,Homo sapiens,9606,SLC2A2,HGNC:11006;,GLUT2,"Solute carrier family 2, facilitated glucose transporter member 2",,"Glucose transporter type 2, liver;",138160;227810;,D-glucose(out) = D-glucose(in);D-fructose(out) = D-fructose(in);L-dehydroascorbate(out) = L-dehydroascorbate(in);D-galactose(in) = D-galactose(out);,RHEA:60376;RHEA:60372;RHEA:60380;RHEA:34915;,,,R-HSA-189200;R-HSA-210745;R-HSA-422356;R-HSA-5619098;R-HSA-8981373;,,6514;
78,P11169,Homo sapiens,9606,SLC2A3,HGNC:11007;,GLUT3,"Solute carrier family 2, facilitated glucose transporter member 3",,"Glucose transporter type 3, brain;",138170;,D-glucose(out) = D-glucose(in);D-galactose(in) = D-galactose(out);,RHEA:60376;RHEA:34915;,,,R-HSA-189200;R-HSA-196836;R-HSA-6798695;R-HSA-9022699;,,6515;
79,P14672,Homo sapiens,9606,SLC2A4,HGNC:11009;,GLUT4,"Solute carrier family 2, facilitated glucose transporter member 4",,"Glucose transporter type 4, insulin-responsive;",125853;138190;,D-glucose(out) = D-glucose(in);,RHEA:60376;,,,R-HSA-1445148;R-HSA-189200;R-HSA-381340;,,6517;
80,P22732,Homo sapiens,9606,SLC2A5,HGNC:11010;,GLUT5,"Solute carrier family 2, facilitated glucose transporter member 5",,"Fructose transporter;Glucose transporter type 5, small intestine;",138230;,D-fructose(out) = D-fructose(in);,RHEA:60372;,,,R-HSA-6798695;R-HSA-8981373;,,6518;
81,Q9NY64,Homo sapiens,9606,SLC2A8,HGNC:13812;,GLUT8,"Solute carrier family 2, facilitated glucose transporter member 8",,Glucose transporter type 8;Glucose transporter type X1;,605245;,D-glucose(out) = D-glucose(in);D-fructose(out) = D-fructose(in);L-dehydroascorbate(out) = L-dehydroascorbate(in);,RHEA:60376;RHEA:60372;RHEA:60380;,,,R-HSA-189200;R-HSA-8856825;R-HSA-8856828;,,29988;
82,Q969S0,Homo sapiens,9606,SLC35B4,HGNC:20584;,YEA4,Nucleotide sugar transporter SLC35B4,,Solute carrier family 35 member B4;UDP-xylose and UDP-N-acetylglucosamine transporter;YEA4 homolog;,610923;,UDP-alpha-D-glucuronate(out) + UDP-N-acetyl-alpha-D-glucosamine(in) = UDP-alpha-D-glucuronate(in) + UDP-N-acetyl-alpha-D-glucosamine(out);UDP-alpha-D-glucuronate(out) + UDP-alpha-D-xylose(in) = UDP-alpha-D-glucuronate(in) + UDP-alpha-D-xylose(out);UDP-alpha-D-glucuronate(out) + UDP-N-acetyl-alpha-D-glucosamine(in) = UDP-alpha-D-glucuronate(in) + UDP-N-acetyl-alpha-D-glucosamine(out);,RHEA:73703;RHEA:74831;RHEA:73703;,,,R-HSA-727802;,,84912;
83,Q76EJ3,Homo sapiens,9606,SLC35D2,HGNC:20799;,HFRC,UDP-N-acetylglucosamine/UDP-glucose/GDP-mannose transporter,,Homolog of Fringe connection protein 1;SQV7-like protein;Solute carrier family 35 member D2;UDP-galactose transporter-related protein 8;,609182;,,,,,R-HSA-2022854;R-HSA-2022928;R-HSA-727802;,,11046;
84,Q9Y2D2,Homo sapiens,9606,SLC35A3,HGNC:11023;,,UDP-N-acetylglucosamine transporter,,Golgi UDP-GlcNAc transporter;Solute carrier family 35 member A3;,605632;615553;,,,,,R-HSA-5619083;R-HSA-727802;,,23443;
85,Q9NTN3,Homo sapiens,9606,SLC35D1,HGNC:20800;,KIAA0260,Nucleotide sugar transporter SLC35D1,,Solute carrier family 35 member D1;UDP-galactose transporter-related protein 7;UDP-glucuronic acid/UDP-N-acetylgalactosamine transporter;,269250;610804;,UDP-alpha-D-glucuronate(out) + UDP-N-acetyl-alpha-D-glucosamine(in) = UDP-alpha-D-glucuronate(in) + UDP-N-acetyl-alpha-D-glucosamine(out);UDP-alpha-D-glucuronate(out) + UDP-N-acetyl-alpha-D-galactosamine(in) = UDP-alpha-D-glucuronate(in) + UDP-N-acetyl-alpha-D-galactosamine(out);UDP-N-acetyl-alpha-D-glucosamine(in) + UMP(out) = UDP-N-acetyl-alpha-D-glucosamine(out) + UMP(in);UDP-N-acetyl-alpha-D-galactosamine(in) + UMP(out) = UDP-N-acetyl-alpha-D-galactosamine(out) + UMP(in);UDP-alpha-D-glucuronate(in) + UMP(out) = UDP-alpha-D-glucuronate(out) + UMP(in);UDP-alpha-D-galactose(in) + UMP(out) = UDP-alpha-D-galactose(out) + UMP(in);UDP-alpha-D-glucose(in) + UMP(out) = UDP-alpha-D-glucose(out) + UMP(in);UDP-alpha-D-xylose(in) + UMP(out) = UDP-alpha-D-xylose(out) + UMP(in);UDP-beta-L-arabinopyranose(in) + UMP(out) = UDP-beta-L-arabinopyranose(out) + UMP(in);UDP-beta-L-arabinofuranose(in) + UMP(out) = UDP-beta-L-arabinofuranose(out) + UMP(in);,RHEA:73703;RHEA:74835;RHEA:72695;RHEA:72735;RHEA:72727;RHEA:72703;RHEA:72731;RHEA:72723;RHEA:74671;RHEA:74679;,,,R-HSA-173599;R-HSA-5579020;R-HSA-727802;,,23169;
86,P78381,Homo sapiens,9606,SLC35A2,HGNC:11022;,UGALT,UDP-galactose translocator,,Solute carrier family 35 member A2;UDP-galactose transporter;,300896;314375;,UDP-alpha-D-galactose(in) + UMP(out) = UDP-alpha-D-galactose(out) + UMP(in);UDP-N-acetyl-alpha-D-galactosamine(in) + UMP(out) = UDP-N-acetyl-alpha-D-galactosamine(out) + UMP(in);UDP-alpha-D-glucose(in) + UMP(out) = UDP-alpha-D-glucose(out) + UMP(in);UDP-N-acetyl-alpha-D-glucosamine(in) + UMP(out) = UDP-N-acetyl-alpha-D-glucosamine(out) + UMP(in);AMP(out) + UDP-alpha-D-galactose(in) = AMP(in) + UDP-alpha-D-galactose(out);CMP(out) + UDP-alpha-D-galactose(in) = CMP(in) + UDP-alpha-D-galactose(out);UDP-alpha-D-galactose(in) + UDP-N-acetyl-alpha-D-galactosamine(out) = UDP-alpha-D-galactose(out) + UDP-N-acetyl-alpha-D-galactosamine(in);UDP-alpha-D-galactose(in) + UDP-N-acetyl-alpha-D-glucosamine(out) = UDP-alpha-D-galactose(out) + UDP-N-acetyl-alpha-D-glucosamine(in);UDP-alpha-D-galactose(in) + UDP-alpha-D-glucose(out) = UDP-alpha-D-galactose(out) + UDP-alpha-D-glucose(in);CMP(in) + UMP(out) = CMP(out) + UMP(in);AMP(in) + UMP(out) = AMP(out) + UMP(in);,RHEA:72703;RHEA:72735;RHEA:72731;RHEA:72695;RHEA:74599;RHEA:74603;RHEA:74607;RHEA:74611;RHEA:74615;RHEA:74619;RHEA:74623;,,,R-HSA-5619072;R-HSA-727802;,,7355;
87,Q96A29,Homo sapiens,9606,SLC35C1,HGNC:20197;,FUCT1,GDP-fucose transporter 1,,Solute carrier family 35 member C1;,266265;605881;,GDP-beta-L-fucose(in) + GMP(out) = GDP-beta-L-fucose(out) + GMP(in);,RHEA:72707;,,,R-HSA-5619078;R-HSA-6787639;R-HSA-727802;,,55343;
88,P78382,Homo sapiens,9606,SLC35A1,HGNC:11021;,,CMP-sialic acid transporter,CMP-SA-Tr;CMP-Sia-Tr;CST;,Solute carrier family 35 member A1;,603585;605634;,CMP(out) + CMP-N-acetyl-beta-neuraminate(in) = CMP(in) + CMP-N-acetyl-beta-neuraminate(out);AMP(out) + CMP-N-acetyl-beta-neuraminate(in) = AMP(in) + CMP-N-acetyl-beta-neuraminate(out);CDP(out) + CDP-L-ribitol(in) = CDP(in) + CDP-L-ribitol(out);CMP-N-acetyl-beta-neuraminate(in) + UMP(out) = CMP-N-acetyl-beta-neuraminate(out) + UMP(in);,RHEA:67724;RHEA:74639;RHEA:71579;RHEA:74643;,,,R-HSA-4085001;R-HSA-5619037;R-HSA-5663020;R-HSA-727802;,,10559;
89,Q8NBZ7,Homo sapiens,9606,UXS1,HGNC:17729;,,UDP-glucuronic acid decarboxylase 1,,UDP-glucuronate decarboxylase 1;,609749;,H(+) + UDP-alpha-D-glucuronate = CO2 + UDP-alpha-D-xylose;,RHEA:23916;,4.1.1.35;,,,,80146;
90,Q9Y303,Homo sapiens,9606,AMDHD2,HGNC:24262;,,N-acetylglucosamine-6-phosphate deacetylase,GlcNAc 6-P deacetylase;,Amidohydrolase domain-containing protein 2;,,H2O + N-acetyl-D-glucosamine 6-phosphate = acetate + D-glucosamine 6-phosphate;,RHEA:22936;,3.5.1.25;,,R-HSA-446210;,,51005;
91,Q96EK6,Homo sapiens,9606,GNPNAT1,HGNC:19980;,GNA1,Glucosamine 6-phosphate N-acetyltransferase,,Phosphoglucosamine acetylase;Phosphoglucosamine transacetylase;,616510;619598;,acetyl-CoA + D-glucosamine 6-phosphate = CoA + H(+) + N-acetyl-D-glucosamine 6-phosphate;,RHEA:10292;,2.3.1.4;,2.3.1.4;,R-HSA-446210;,,64841;
92,P46926,Homo sapiens,9606,GNPDA1,HGNC:4417;,GNPI,Glucosamine-6-phosphate isomerase 1,,Glucosamine-6-phosphate deaminase 1;Oscillin;,601798;,alpha-D-glucosamine 6-phosphate + H2O = beta-D-fructose 6-phosphate + NH4(+);,RHEA:12172;,3.5.99.6;,3.5.99.6;,R-HSA-70171;,,10007;
93,Q8TDQ7,Homo sapiens,9606,GNPDA2,HGNC:21526;,GNP2,Glucosamine-6-phosphate isomerase 2,,Glucosamine-6-phosphate deaminase 2;Glucosamine-6-phosphate isomerase SB52;,613222;,alpha-D-glucosamine 6-phosphate + H2O = beta-D-fructose 6-phosphate + NH4(+);,RHEA:12172;,3.5.99.6;,3.5.99.6;,R-HSA-70171;,,132789;
94,O95394,Homo sapiens,9606,PGM3,HGNC:8907;,AGM1,Phosphoacetylglucosamine mutase,PAGM;,Acetylglucosamine phosphomutase;N-acetylglucosamine-phosphate mutase;Phosphoglucomutase-3;,172100;615816;,N-acetyl-alpha-D-glucosamine 1-phosphate = N-acetyl-D-glucosamine 6-phosphate;,RHEA:23804;,5.4.2.3;,5.4.2.3;,R-HSA-446210;,,5238;
95,Q06210,Homo sapiens,9606,GFPT1,HGNC:4241;,GFAT,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1,,D-fructose-6-phosphate amidotransferase 1;Glutamine:fructose-6-phosphate amidotransferase 1;Hexosephosphate aminotransferase 1;,138292;610542;,D-fructose 6-phosphate + L-glutamine = D-glucosamine 6-phosphate + L-glutamate;,RHEA:13237;,2.6.1.16;,2.6.1.16;,R-HSA-381038;R-HSA-4085023;R-HSA-446210;,,2673;
96,O94808,Homo sapiens,9606,GFPT2,HGNC:4242;,,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2,,D-fructose-6-phosphate amidotransferase 2;Glutamine:fructose-6-phosphate amidotransferase 2;Hexosephosphate aminotransferase 2;,603865;,D-fructose 6-phosphate + L-glutamine = D-glucosamine 6-phosphate + L-glutamate;,RHEA:13237;,2.6.1.16;,,R-HSA-446210;,,9945;
97,Q9UJ70,Homo sapiens,9606,NAGK,HGNC:17174;,,N-acetyl-D-glucosamine kinase,N-acetylglucosamine kinase;,GlcNAc kinase;,606828;,ATP + N-acetyl-D-glucosamine = ADP + H(+) + N-acetyl-D-glucosamine 6-phosphate;,RHEA:17417;,2.7.1.59;,2.7.1.59;,R-HSA-446210;,,55577;
98,O60701,Homo sapiens,9606,UGDH,HGNC:12525;,,UDP-glucose 6-dehydrogenase,UDP-Glc dehydrogenase;UDP-GlcDH;UDPGDH;,,603370;618792;,H2O + 2 NAD(+) + UDP-alpha-D-glucose = 3 H(+) + 2 NADH + UDP-alpha-D-glucuronate;,RHEA:23596;,1.1.1.22;,1.1.1.22;,R-HSA-173599;,,7358;
99,P35575,Homo sapiens,9606,G6PC1,HGNC:4056;,G6PC,Glucose-6-phosphatase catalytic subunit 1,,Glucose-6-phosphatase;Glucose-6-phosphatase alpha;,232200;613742;,D-glucose 6-phosphate + H2O = D-glucose + phosphate;,RHEA:16689;,3.1.3.9;,3.1.3.9;,R-HSA-3274531;R-HSA-70263;R-HSA-9615017;,,2538;
100,P52789,Homo sapiens,9606,HK2,HGNC:4923;,,Hexokinase-2,,Hexokinase type II;Hexokinase-B;Muscle form hexokinase;,601125;,ATP + D-hexose = ADP + D-hexose 6-phosphate + H(+);ATP + D-fructose = ADP + D-fructose 6-phosphate + H(+);ATP + D-glucose = ADP + D-glucose 6-phosphate + H(+);,RHEA:22740;RHEA:16125;RHEA:17825;,2.7.1.1;2.7.1.1;2.7.1.1;,2.7.1.1;,R-HSA-70171;,,3099;
101,P19367,Homo sapiens,9606,HK1,HGNC:4922;,,Hexokinase-1,,Brain form hexokinase;Hexokinase type I;Hexokinase-A;,142600;235700;605285;617460;618547;,ATP + D-hexose = ADP + D-hexose 6-phosphate + H(+);ATP + D-fructose = ADP + D-fructose 6-phosphate + H(+);ATP + D-glucose = ADP + D-glucose 6-phosphate + H(+);ATP + D-mannose = ADP + D-mannose 6-phosphate + H(+);ATP + D-glucosamine = ADP + D-glucosamine 6-phosphate + H(+);,RHEA:22740;RHEA:16125;RHEA:17825;RHEA:11028;RHEA:10948;,2.7.1.1;2.7.1.1;2.7.1.1;2.7.1.1;2.7.1.1;,2.7.1.1;,R-HSA-5619056;R-HSA-70171;,,3098;
102,P52790,Homo sapiens,9606,HK3,HGNC:4925;,,Hexokinase-3,,Hexokinase type III;Hexokinase-C;,142570;,ATP + D-hexose = ADP + D-hexose 6-phosphate + H(+);ATP + D-fructose = ADP + D-fructose 6-phosphate + H(+);ATP + D-glucose = ADP + D-glucose 6-phosphate + H(+);,RHEA:22740;RHEA:16125;RHEA:17825;,2.7.1.1;2.7.1.1;2.7.1.1;,2.7.1.1;,R-HSA-6798695;R-HSA-70171;,,3101;
103,P35557,Homo sapiens,9606,GCK,HGNC:4195;,,Hexokinase-4,HK4;,Glucokinase;Hexokinase type IV;Hexokinase-D;,125851;125853;138079;602485;606176;606391;,ATP + D-hexose = ADP + D-hexose 6-phosphate + H(+);ATP + D-fructose = ADP + D-fructose 6-phosphate + H(+);ATP + D-glucose = ADP + D-glucose 6-phosphate + H(+);ATP + D-mannose = ADP + D-mannose 6-phosphate + H(+);,RHEA:22740;RHEA:16125;RHEA:17825;RHEA:11028;,2.7.1.1;2.7.1.1;2.7.1.1;2.7.1.1;,2.7.1.1;,R-HSA-170822;R-HSA-210745;R-HSA-5619073;R-HSA-5619107;R-HSA-70171;R-HSA-9615017;,,2645;
104,Q16851,Homo sapiens,9606,UGP2,HGNC:12527;,UGP1,UTP--glucose-1-phosphate uridylyltransferase,,UDP-glucose pyrophosphorylase;,191750;191760;618744;,alpha-D-glucose 1-phosphate + H(+) + UTP = diphosphate + UDP-alpha-D-glucose;,RHEA:19889;,2.7.7.9;,2.7.7.9;,R-HSA-173599;R-HSA-3322077;,,7360;
105,P06744,Homo sapiens,9606,GPI,HGNC:4458;,,Glucose-6-phosphate isomerase,GPI;,Autocrine motility factor;Neuroleukin;Phosphoglucose isomerase;Phosphohexose isomerase;Sperm antigen 36;,172400;613470;,alpha-D-glucose 6-phosphate = beta-D-fructose 6-phosphate;,RHEA:11816;,5.3.1.9;,5.3.1.9;,R-HSA-5628897;R-HSA-6798695;R-HSA-70171;R-HSA-70263;,,2821;
106,Q96G03,Homo sapiens,9606,PGM2,HGNC:8906;,,Phosphopentomutase,,Glucose phosphomutase 2;Phosphodeoxyribomutase;Phosphoglucomutase-2;,172000;,alpha-D-ribose 1-phosphate = D-ribose 5-phosphate;2-deoxy-alpha-D-ribose 1-phosphate = 2-deoxy-D-ribose 5-phosphate;alpha-D-glucose 1-phosphate = alpha-D-glucose 6-phosphate;,RHEA:18793;RHEA:27658;RHEA:23536;,5.4.2.7;5.4.2.7;5.4.2.2;,,R-HSA-6798695;R-HSA-71336;,,55276;
107,P36871,Homo sapiens,9606,PGM1,HGNC:8905;,,Phosphoglucomutase-1,PGM 1;,Glucose phosphomutase 1;,171900;614921;,alpha-D-glucose 1-phosphate = alpha-D-glucose 6-phosphate;,RHEA:23536;,5.4.2.2;,5.4.2.2;,R-HSA-3322077;R-HSA-5609974;R-HSA-6798695;R-HSA-70221;R-HSA-70370;,,5236;
108,Q16222,Homo sapiens,9606,UAP1,HGNC:12457;,SPAG2,UDP-N-acetylhexosamine pyrophosphorylase,,Antigen X;Sperm-associated antigen 2;,602862;,H(+) + N-acetyl-alpha-D-galactosamine 1-phosphate + UTP = diphosphate + UDP-N-acetyl-alpha-D-galactosamine;H(+) + N-acetyl-alpha-D-glucosamine 1-phosphate + UTP = diphosphate + UDP-N-acetyl-alpha-D-glucosamine;,RHEA:34363;RHEA:13509;,2.7.7.83;2.7.7.23;,2.7.7.23;2.7.7.83;,R-HSA-446210;,,6675;
109,Q01415,Homo sapiens,9606,GALK2,HGNC:4119;,GK2,N-acetylgalactosamine kinase,,GalNAc kinase;Galactokinase 2;,137028;,ATP + N-acetyl-alpha-D-galactosamine = ADP + H(+) + N-acetyl-alpha-D-galactosamine 1-phosphate;,RHEA:12617;,2.7.1.157;,2.7.1.157;,,,2585;
110,Q14376,Homo sapiens,9606,GALE,HGNC:4116;,,UDP-glucose 4-epimerase,,Galactowaldenase;UDP-N-acetylgalactosamine 4-epimerase;UDP-N-acetylglucosamine 4-epimerase;UDP-galactose 4-epimerase;,230350;606953;,UDP-alpha-D-glucose = UDP-alpha-D-galactose;UDP-N-acetyl-alpha-D-glucosamine = UDP-N-acetyl-alpha-D-galactosamine;,RHEA:22168;RHEA:20517;,5.1.3.2;5.1.3.7;,5.1.3.2;5.1.3.7;,R-HSA-5609977;R-HSA-70370;,,2582;
111,P51570,Homo sapiens,9606,GALK1,HGNC:4118;,GALK,Galactokinase,,Galactose kinase;,230200;604313;,alpha-D-galactose + ATP = ADP + alpha-D-galactose 1-phosphate + H(+);,RHEA:13553;,2.7.1.6;,2.7.1.6;,R-HSA-5609976;R-HSA-70370;,,2584;
112,P07902,Homo sapiens,9606,GALT,HGNC:4135;,,Galactose-1-phosphate uridylyltransferase,Gal-1-P uridylyltransferase;,UDP-glucose--hexose-1-phosphate uridylyltransferase;,230400;606999;,alpha-D-galactose 1-phosphate + UDP-alpha-D-glucose = alpha-D-glucose 1-phosphate + UDP-alpha-D-galactose;,RHEA:13989;,2.7.7.12;,2.7.7.12;,R-HSA-5609978;R-HSA-70370;,,2592;
113,Q9Y5P6,Homo sapiens,9606,GMPPB,HGNC:22932;,,Mannose-1-phosphate guanyltransferase beta,,GDP-mannose pyrophosphorylase B;GTP-mannose-1-phosphate guanylyltransferase beta;,615320;615350;615351;615352;,alpha-D-mannose 1-phosphate + GTP + H(+) = diphosphate + GDP-alpha-D-mannose;,RHEA:15229;,2.7.7.13;,2.7.7.13;,R-HSA-446205;,,29925;
114,Q96IJ6,Homo sapiens,9606,GMPPA,HGNC:22923;,,Mannose-1-phosphate guanyltransferase alpha,,GDP-mannose pyrophosphorylase A;GTP-mannose-1-phosphate guanylyltransferase alpha;,615495;615510;,,,,,R-HSA-446205;,,29926;
115,P34949,Homo sapiens,9606,MPI,HGNC:7216;,PMI1,Mannose-6-phosphate isomerase,,Phosphohexomutase;Phosphomannose isomerase;,154550;602579;,D-mannose 6-phosphate = D-fructose 6-phosphate;,RHEA:12356;,5.3.1.8;,,R-HSA-4043916;R-HSA-446205;,,4351;
116,O15305,Homo sapiens,9606,PMM2,HGNC:9115;,,Phosphomannomutase 2,PMM 2;,,212065;601785;,alpha-D-mannose 1-phosphate = D-mannose 6-phosphate;,RHEA:11140;,5.4.2.8;,5.4.2.8;,R-HSA-4043911;R-HSA-446205;,,5373;
117,Q92871,Homo sapiens,9606,PMM1,HGNC:9114;,PMMH22,Phosphomannomutase 1,PMM 1;,PMMH-22;,601786;,alpha-D-mannose 1-phosphate = D-mannose 6-phosphate;,RHEA:11140;,5.4.2.8;,5.4.2.8;,R-HSA-446205;,,5372;
118,Q13630,Homo sapiens,9606,GFUS,HGNC:12390;,SDR4E1,GDP-L-fucose synthase,,"GDP-4-keto-6-deoxy-D-mannose-3,5-epimerase-4-reductase;Protein FX;Red cell NADP(H)-binding protein;Short-chain dehydrogenase/reductase family 4E member 1;",137020;,GDP-beta-L-fucose + NADP(+) = GDP-4-dehydro-alpha-D-rhamnose + H(+) + NADPH;,RHEA:18885;,1.1.1.271;,,R-HSA-6787639;,,7264;
119,Q8N0W3,Homo sapiens,9606,FCSK,HGNC:29500;,FUK,L-fucose kinase,Fucokinase;,,608675;618324;,ATP + L-fucose = ADP + beta-L-fucose 1-phosphate + H(+);,RHEA:13241;,2.7.1.52;,2.7.1.52;,R-HSA-6787639;,,197258;
120,O14772,Homo sapiens,9606,FPGT,HGNC:3825;,GFPP,Fucose-1-phosphate guanylyltransferase,,GDP-L-fucose diphosphorylase;GDP-L-fucose pyrophosphorylase;,603609;,beta-L-fucose 1-phosphate + GTP + H(+) = diphosphate + GDP-beta-L-fucose;,RHEA:13549;,2.7.7.30;,2.7.7.30;,R-HSA-6787639;,,8790;
121,O60547,Homo sapiens,9606,GMDS,HGNC:4369;,,"GDP-mannose 4,6 dehydratase",,GDP-D-mannose dehydratase;,602884;,GDP-alpha-D-mannose = GDP-4-dehydro-alpha-D-rhamnose + H2O;,RHEA:23820;,4.2.1.47;,4.2.1.47;,R-HSA-6787639;,,2762;
122,Q8NFW8,Homo sapiens,9606,CMAS,HGNC:18290;,,N-acylneuraminate cytidylyltransferase,,CMP-N-acetylneuraminic acid synthase;,603316;,an N-acylneuraminate + CTP = a CMP-N-acyl-beta-neuraminate + diphosphate;,RHEA:11344;,2.7.7.43;,2.7.7.43;,R-HSA-4085001;,,55907;
123,Q9Y223,Homo sapiens,9606,GNE,HGNC:23657;,GLCNE,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase,,UDP-GlcNAc-2-epimerase/ManAc kinase;,269921;600737;603824;605820;,H2O + UDP-N-acetyl-alpha-D-glucosamine = H(+) + N-acetyl-D-mannosamine + UDP;an N-acyl-D-mannosamine + ATP = ADP + an N-acyl-D-mannosamine 6-phosphate + H(+);,RHEA:30683;RHEA:23832;,3.2.1.183;2.7.1.60;,2.7.1.60;3.2.1.183;5.1.3.14;,R-HSA-4085001;R-HSA-4085011;,,10020;
124,P51606,Homo sapiens,9606,RENBP,HGNC:9959;,,N-acylglucosamine 2-epimerase,AGE;,GlcNAc 2-epimerase;N-acetyl-D-glucosamine 2-epimerase;Renin-binding protein;,312420;,an N-acyl-D-glucosamine = an N-acyl-D-mannosamine;,RHEA:19033;,5.1.3.8;,5.1.3.8;,R-HSA-446210;,,5973;
125,Q9NR45,Homo sapiens,9606,NANS,HGNC:19237;,SAS,Sialic acid synthase,,N-acetylneuraminate synthase;N-acetylneuraminate-9-phosphate synthase;N-acetylneuraminic acid phosphate synthase;N-acetylneuraminic acid synthase;,605202;610442;,H2O + N-acetyl-D-mannosamine + phosphoenolpyruvate = N-acetylneuraminate + phosphate;an N-acyl-D-mannosamine 6-phosphate + H2O + phosphoenolpyruvate = an N-acylneuraminate 9-phosphate + phosphate;,RHEA:19273;RHEA:13421;,2.5.1.56;2.5.1.57;,2.5.1.132;2.5.1.56;2.5.1.57;,R-HSA-4085001;,,54187;
126,A4D126,Homo sapiens,9606,CRPPA,HGNC:37276;,ISPD,D-ribitol-5-phosphate cytidylyltransferase,,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase-like protein;Isoprenoid synthase domain-containing protein;,614631;614643;616052;,CTP + D-ribitol 5-phosphate + H(+) = CDP-L-ribitol + diphosphate;CTP + D-ribose 5-phosphate + H(+) = CDP-D-ribose + diphosphate;CTP + D-ribulose 5-phosphate + H(+) = CDP-D-ribulose + diphosphate;,RHEA:12456;RHEA:53872;RHEA:53612;,2.7.7.40;,2.7.7.40;,,,729920;
127,Q96PB1,Homo sapiens,9606,CASD1,HGNC:16014;,C7orf12,N-acetylneuraminate 9-O-acetyltransferase,,CAS1 domain-containing protein 1;Sialate O-acetyltransferase;,611686;,acetyl-CoA + N-acetylneuraminate = CoA + N-acetyl-9-O-acetylneuraminate;acetyl-CoA + N-acetylneuraminate = CoA + N-acetyl-7-O-acetylneuraminate;,RHEA:26043;RHEA:20808;,2.3.1.45;2.3.1.45;,2.3.1.45;,,,64921;
128,Q9HAT2,Homo sapiens,9606,SIAE,HGNC:18187;,YSG2,Sialate O-acetylesterase,,H-Lse;Sialic acid-specific 9-O-acetylesterase;,610079;613551;,H2O + N-acetyl-9-O-acetylneuraminate = acetate + H(+) + N-acetylneuraminate;H2O + N-acetyl-4-O-acetylneuraminate = acetate + H(+) + N-acetylneuraminate;,RHEA:22600;RHEA:25564;,3.1.1.53;3.1.1.53;,3.1.1.53;,,,54414;
129,Q13724,Homo sapiens,9606,MOGS,HGNC:24862;,GCS1,Mannosyl-oligosaccharide glucosidase,,Processing A-glucosidase I;,601336;606056;,H2O + N(4)-(alpha-D-Glc-(1->2)-alpha-D-Glc-(1->3)-alpha-D-Glc-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc)-L-asparaginyl-[protein] = beta-D-glucose + N(4)-(alpha-D-Glc-(1->3)-alpha-D-Glc-(1->3)-alpha-D-Man-(1->2)-alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->3)-[alpha-D-Man-(1->2)-alpha-D-Man-(1->6)]-alpha-D-Man-(1->6)]-beta-D-Man-(1->4)-beta-D-GlcNAc-(1->4)-beta-D-GlcNAc)-L-asparaginyl-[protein];,RHEA:55988;RHEA-COMP:12806;RHEA-COMP:14355;,3.2.1.106;,,R-HSA-4793954;R-HSA-532668;R-HSA-9683686;R-HSA-9694548;,GH63;,7841;
