GeneSymbol,CAZy,ECNo,EnzClass,Uniprot,DNARef,KEGG,KEGGPath,ProteinRef,GeneID,GlyClass,ProteinName,Organism,Constraints,Status,Reactant,co_R,Product,co_P,Comments,OMIMNo,Compartment,AddMono,Remove,ReplaceMono,Substrate,Product_1,Vm,Km,KineticsUnits,ER,Cis,Medial,Trans,TGN,Tissues,Organs,Donor,ReactomeID,isOriginal,isDrawGlycan
DSEL,,5.1.3.19,Epimerase,Q8IZU8,NM_032160.2,,No Record,NP_115536.1,92126,GAG,Dermatan-sulfate epimerase-like protein,Homo sapiens,!@GlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl(b1-r),done,...GalNAc(b1-4)GlcA(b1-3)GalNAc(b1-4)...,,...GalNAc(b1-4)IdoA(a1-3)GalNAc(b1-4)...,,"* DS is derived from CS by the epimerization of GlcA to IdoA. By definition, a single iduronic acid is sufficient to name the chain DS.
* Dermatan sulfate epimerase 1 and 2 epimerize glucuronic acid to iduronic acid in DS.
* After epimerization of the chain, the C2 hydroxyl group of GlcA/IdoA and the C4 and/or C6 hydroxyl group of GalNAc can be sulfated, giving rise to seven different disaccharide structures.
* Disregulation of the epimerase activity results in the propagation of various inflammatory and oncological disorders.",611125,,,,...IdoA(a1-3),...GlcA(b1-3),...IdoA(a1-3),0,0,pM,1,1,1,1,1,,,null,R-HSA-2022923,1,1
EDEM1,GH47,,,Q92611,NM_014674.2,,No Record,NP_055489.1,9695,N_linked,ER degradation-enhancing alpha-mannosidase-like protein 1,Homo sapiens,,done,no clearly defined reaction available,,,,"* Extracts misfolded glycoproteins, but not glycoproteins undergoing productive folding, from the calnexin cycle. Trims terminal Man in the C-arm to target misfolded protein for degradation.
* The enzyme is thought to trim glycan on selected proteins from M8 (Man8) to M7-5 and from M6 to M5.
* It is directly involved in endoplasmic reticulum-associated degradation (ERAD) and targets misfolded glycoproteins for degradation in an N-glycan-independent manner.",607673,ER,,,NULL,No reaction,,0,0,pM,1,1,1,1,1,,,None/Other,R-HSA-381038,1,0
EDEM2,GH47,,,Q9BV94,NM_001145025.1,,No Record,NP_001138497.1,55741,N_linked,ER degradation-enhancing alpha-mannosidase-like protein 2,Homo sapiens,None,done,no clearly defined reaction available,,,,"* Involved in the endoplasmic reticulum-associated degradation (ERAD) pathway that targets misfolded glycoproteins for degradation in an N-glycan-dependent manner. 
* May initiate ERAD by promoting the first mannose trimming step of ERAD substrates, from Man9GlcNAc2 to Man8GlcNAc2.",610302,ER,,,NULL,No reaction,,0,0,pM,1,1,1,1,1,Muscular/Epithelial/Connective/Nervous,Musculoskeletal/Pancreas/Bladder/Spleen/Mouth/Liver/Ovaries/Brain/Stomach/Lungs/Prostate/Eyes/Intestines/Kidney/Heart,None/Other,R-HSA-901032,1,0
EDEM3,GH47,3.2.1.113,,Q9BZQ6,NM_001319960.1,,No Record,NP_001306889.1,80267,N_linked,ER degradation-enhancing alpha-mannosidase-like protein 3,Homo sapiens,,done,no clearly defined reaction available,,,,"* Involved in endoplasmic reticulum-associated degradation (ERAD). 
* Accelerates the glycoprotein ERAD by proteasomes, by catalyzing mannose trimming from Man8GlcNAc2 to Man7GlcNAc2 in the N-glycans.",610214,ER,,,NULL,No reaction,,0,0,pM,1,1,1,1,1,Muscular/Epithelial/Connective/Nervous,Musculoskeletal/Pancreas/Bladder/Spleen/Mouth/Liver/Ovaries/Brain/Stomach/Lungs/Prostate/Eyes/Intestines/Kidney/Heart,None/Other,R-HSA-901032,1,0
ENGASE,GH85,3.2.1.96,Glycosidase,Q8NFI3,NM_001042573.2,,No Record,NP_001036038.1,64772,N_linked,Cytosolic endo-beta-N-acetylglucosaminidase,Homo sapiens,,done,…Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-?)Asn,H2O,…Man(b1-4)GlcNAc(b1-?),GlcNAc(b1-?)Asn,"* Releases N-glycans from glycoproteins by cleaving the beta-1,4-glycosidic bond in the N,N'-diacetylchitobiose core, in cytosol.",611898,,,,NULL,...GlcNAc(b1-4)GlcNAc(b1-?)Asn,...GlcNAc(b1-4),0,0,pM,1,1,1,1,1,,,UDP,R-HSA-532668,1,1
EOGT,GT61,2.4.1.255,Glycosyltransferase,Q5NDL2,NM_001278689.1,K18134,ko00514,NP_001265618.1,285203,O_glycanNMu,EGF domain-specific O-linked N-acetylglucosamine transferase,Homo sapiens,,done,Ser/Thr [EGF],UDP-GlcNAc,GlcNAc(b1-?)-Ser/Thr [EGF],UDP,"* Catalyzes transfer of a βGlcNAc to Ser/Thr in some extracellular proteins.
* Specifically, glycosylates the Thr between 5th & 6th conserved cysteines of folded EGF-like domains.",614789,,GlcNAc(b1-r),,,Ser|Thr,GlcNAc(b1-?)Ser|Thr,0,0,pM,1,1,1,1,1,,,UDP,,1,1
EXT1,GT47,2.4.1.224,Glycosyltransferase,Q16394,NM_000127.2,K02366,ko00534/ko01100,NP_000118.2,2131,GAG,Exostosin-1,Homo sapiens,!IdoA(a1-4)&!GlcN(a1-4 NS-2),done,GlcNAc(a1-4)GlcA(b1-4)...;GlcA(b1-4)GlcNAc(a1-4)…,UDP-GlcA; UDP-GlcNAc,GlcA(b1-4)GlcNAc(a1-4)GlcA(b1-4)...;GlcNAc(a1-4)GlcA(b1-4)GlcNAc(a1-4)...,UDP;UDP,"* The initiation of heparan sulfate biosynthesis is catalyzed by an αGlcNAc transferase activity that is termed 'GlcNAcT-I'. Addition of GlcA (HS-GlcAT-II) and GlcNAc (GlcNAcT-II) then ensues to form an HS backbone.
* These activities are mediated by several enzymes of the EXT (EXT-1/2) and EXT-like (EXTL-1/2/3) gene family. EXTL-1, -2 and -3 all have only HexNAc transferase activity, and they were discovered after EXT1/2. EXT1/2 have dual enzyme activity.
* EXTL3 has both GlcNAcT-I activity and GlcNAcT-II activity. Thus, it participate in both chain initiation and extension. EXTL3 knockout is embryonic lethal, it is most likely responsible for adding the first GlcNAc to the tetrasaccharide linker to initiate HS chain extension by EXT1/EXT2. Homozygous mutation of EXTL3 has recently been found to cause severe developmental delay. * EXTL2 (α1,4-N-Acetylhexosaminyltransferase) catalyzes the transfer of a α(1-4)GlcNAc or alternatively α(1-4)GalNAc residue from UDP-GalNAc/GlcNAc to the core oligosaccharide representing the GAG-protein linker (i.e. GlcNAcT-I activity). EXTL2 is widely distributed in various mammalian tissues and cells as well as in serum. α-GalNAc activity of EXTL2 may suppress HS biosynthesis, as this can no longer be extended by EXT1/EXT2. EXTL2 knockout mice is largely normal but shown various defects when challenged with disease models.
* EXTL1 only has GlcNAcT-II activity. * EXT1 and EXT2 form a heterodimeric complex of Type II-proteins in cis-Golgi. EXT1-EXT2 interaction and core proteins are critical and required for the heparan chain polymerization reactions.
* EXT1 (Exostosin) and EXT2 both have GlcAT and GlcNAcT activities (i.e. they are bifunctional) and are together responsible for HS chain polymerization. Knocking out either EXT1 or EXT2 is embryonic lethal. * Even heterozygous mutations in EXT1 or EXT2 led to reduction in HS biosynthesis and can cause a bone disease called Exostosis.",608177,ER/Cis/Medial/Trans/TGN,GlcA(b1-4) or GlcNAc(a1-4),,,GlcNAc(a1-4) or GlcA(b1-4),GlcA(b1-4)GlcNAc(a1-4) or GlcNAc(a1-4)GlcA(b1-4),0,0,pM,1,1,1,1,1,,,UDP,R-HSA-2022928,1,1
EXT2,GT47,2.4.1.224,Glycosyltransferase,Q93063,NM_000401.3,K02367,ko00534/ko01100,NP_000392.3,2132,GAG,Exostosin-2,Homo sapiens,!IdoA(a1-4)&!GlcN(a1-4 NS-2),done,GlcNAc(a1-4)GlcA(b1-4)...;GlcA(b1-4)GlcNAc(a1-4)…,UDP-GlcA; UDP-GlcNAc,GlcA(b1-4)GlcNAc(a1-4)GlcA(b1-4)...;GlcNAc(a1-4)GlcA(b1-4)GlcNAc(a1-4)...,UDP;UDP,"* The initiation of heparan sulfate biosynthesis is catalyzed by an αGlcNAc transferase activity that is termed GlcNAcT-I. Addition of GlcA (HS-GlcAT-II) and GlcNAc (GlcNAcT-II) then ensues to form an HS backbone.
* These activities are mediated by several enzymes of the EXT (EXT-1/2) and EXT-like (EXTL-1/2/3) gene family. EXTL-1, -2 and -3 all have only HexNAc transferase activity, and they were discovered after EXT1/2. EXT1/2 have dual enzyme activity.
* EXTL3 has both GlcNAcT-I activity and GlcNAcT-II activity. Thus, it participate in both chain initiation and extension. EXTL3 knockout is embryonic lethal, it is most likely responsible for adding the first GlcNAc to the tetrasaccharide linker to initiate HS chain extension by EXT1/EXT2. Homozygous mutation of EXTL3 has recently been found to cause severe developmental delay. 
* EXTL2 (α1,4-N-Acetylhexosaminyltransferase) catalyzes the transfer of a α(1-4)GlcNAc or alternatively α(1-4)GalNAc residue from UDP-GalNAc/GlcNAc to the core oligosaccharide representing the GAG-protein linker (i.e. GlcNAcT-I activity). EXTL2 is widely distributed in various mammalian tissues and cells as well as in serum. α-GalNAc activity of EXTL2 may suppress HS biosynthesis, as this can no longer be extended by EXT1/EXT2. EXTL2 knockout mice is largely normal but shown various defects when challenged with disease models.
* EXTL1 only has GlcNAcT-II activity. 
* EXT1 and EXT2 form a heterodimeric complex of Type II-proteins in cis-Golgi. EXT1-EXT2 interaction and core proteins are critical and required for the heparan chain polymerization reactions.
* EXT1 (Exostosin) and EXT2 both have GlcAT and GlcNAcT activities (i.e. they are bifunctional) and are together responsible for HS chain polymerization. Knocking out either EXT1 or EXT2 is embryonic lethal. 
* Even heterozygous mutations in EXT1 or EXT2 led to reduction in HS biosynthesis and can cause a bone disease called Exostosis.",608210,ER/Cis/Medial/Trans/TGN,GlcA(b1-4),,,GlcNAc(a1-4)GlcA(b1-3),GlcA(b1-4)GlcNAc(a1-4)GlcA(b1-3),0,0,pM,1,1,1,1,1,,,UDP,R-HSA-2022928,1,1
EXTL1,GT47,2.4.1.224,Glycosyltransferase,Q92935,NM_004455.2,K02368,ko00534/ko01100,NP_004446.2,2134,GAG,Exostosin-like 1,Homo sapiens,!IdoA(a1-4)&!GlcN(a1-4 NS-2),done,GlcA(b1-4)GlcNAc(a1-4)…,UDP-GlcNAc,GlcNAc(a1-4)GlcA(b1-4)GlcNAc(a1-4)…,UDP,"* The initiation of heparan sulfate biosynthesis is catalyzed by an αGlcNAc transferase activity that is termed GlcNAcT-I. Addition of GlcA (HS-GlcAT-II) and GlcNAc (GlcNAcT-II) then ensues to form an HS backbone.
* These activities are mediated by several enzymes of the EXT (EXT-1/2) and EXT-like (EXTL-1/2/3) gene family. EXTL-1, -2 and -3 all have only HexNAc transferase activity, and they were discovered after EXT1/2. EXT1/2 have dual enzyme activity.
* EXTL3 has both GlcNAcT-I activity and GlcNAcT-II activity. Thus, it participate in both chain initiation and extension. EXTL3 knockout is embryonic lethal, it is most likely responsible for adding the first GlcNAc to the tetrasaccharide linker to initiate HS chain extension by EXT1/EXT2. Homozygous mutation of EXTL3 has recently been found to cause severe developmental delay. 
* EXTL2 (α1,4-N-Acetylhexosaminyltransferase) catalyzes the transfer of a α(1-4)GlcNAc or alternatively α(1-4)GalNAc residue from UDP-GalNAc/GlcNAc to the core oligosaccharide representing the GAG-protein linker (i.e. GlcNAcT-I activity). EXTL2 is widely distributed in various mammalian tissues and cells as well as in serum. α-GalNAc activity of EXTL2 may suppress HS biosynthesis, as this can no longer be extended by EXT1/EXT2. EXTL2 knockout mice is largely normal but shown various defects when challenged with disease models.
* EXTL1 only has GlcNAcT-II activity. 
* EXT1 and EXT2 form a heterodimeric complex of Type II-proteins in cis-Golgi. EXT1-EXT2 interaction and core proteins are critical and required for the heparan chain polymerization reactions.
* EXT1 (Exostosin) and EXT2 both have GlcAT and GlcNAcT activities (i.e. they are bifunctional) and are together responsible for HS chain polymerization. Knocking out either EXT1 or EXT2 is embryonic lethal. 
* Even heterozygous mutations in EXT1 or EXT2 led to reduction in HS biosynthesis and can cause a bone disease called Exostosis.",601738,ER,GlcNAc(a1-4),,,GlcA(b1-4),GlcNAc(a1-4)GlcA(b1-4),0,0,pM,1,1,1,1,1,,,UDP,R-HSA-381038,1,1
EXTL2,GT64,2.4.1.223,Glycosyltransferase,Q9UBQ6,NM_001033025.2,K02369,ko00534/ko01100,NP_001028197.1,2135,GAG,Exostosin-like 2,Homo sapiens,,done,GlcA(b1-3)GalNAc(a1-4)...;GlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl(b1-?)Ser,UDP-GalNAc;UDP-GlcNAc,GalNAc(a1-4)GlcA(b1-3)GalNAc(a1-4)...;GlcNAc(a1-4)GlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl(b1-?)Ser,UDP;UDP,"* The initiation of heparan sulfate biosynthesis is catalyzed by an αGlcNAc transferase activity. Addition of GlcA (HS-GlcAT-II) and GlcNAc (GlcNAcT-II) then ensues to form an HS backbone.
* These activities are mediated by several enzymes of the EXT (EXT-1/2) and EXT-like (EXTL-1/2/3) gene family. EXTL-1, -2 and -3 all have only HexNAc transferase activity, and they were discovered after EXT1/2. EXT1/2 have dual enzyme activity.
* EXTL3 has both GlcNAcT-I activity and GlcNAcT-II activity. Thus, it participate in both chain initiation and extension. EXTL3 knockout is embryonic lethal, it is most likely responsible for adding the first GlcNAc to the tetrasaccharide linker to initiate HS chain extension by EXT1/EXT2. Homozygous mutation of EXTL3 has recently been found to cause severe developmental delay. 
* EXTL2 (α1,4-N-Acetylhexosaminyltransferase) catalyzes the transfer of a α(1-4)GlcNAc or alternatively α(1-4)GalNAc residue from UDP-GalNAc/GlcNAc to the core oligosaccharide representing the GAG-protein linker (i.e. GlcNAcT-I activity). EXTL2 is widely distributed in various mammalian tissues and cells as well as in serum. α-GalNAc activity of EXTL2 may suppress HS biosynthesis, as this can no longer be extended by EXT1/EXT2. EXTL2 knockout mice is largely normal but shown various defects when challenged with disease models.
* EXTL1 only has GlcNAcT-II activity. 
* EXT1 and EXT2 form a heterodimeric complex of Type II-proteins in cis-Golgi. EXT1-EXT2 interaction and core proteins are critical and required for the heparan chain polymerization reactions.
* EXT1 (Exostosin) and EXT2 both have GlcAT and GlcNAcT activities (i.e. they are bifunctional) and are together responsible for HS chain polymerization. Knocking out either EXT1 or EXT2 is embryonic lethal. 
* Even heterozygous mutations in EXT1 or EXT2 led to reduction in HS biosynthesis and can cause a bone disease called Exostosis.",602411,ER,GalNAc(a1-4) or GlcNAc(a1-4),,,GlcA(b1-3) or GlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl(b1-?)Ser,GalNAc(a1-4)GlcA(b1-3) or GlcNAc(a1-4)GlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl(b1-?)Ser,0,0,pM,1,1,1,1,1,,,UDP,R-HSA-381038,1,1
EXTL3,GT47,2.4.1.223,Glycosyltransferase,O43909,NM_001440.3,K02370,ko00534/ko01100,NP_001431.1,2137,GAG,Exostosin-like 3,Homo sapiens,,done,GlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl(b1-?)-Ser,UDP-GlcNAc,GlcNAc(a1-4)GlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl(b1-?)Ser,UDP,"* The initiation of heparan sulfate biosynthesis is catalyzed by an αGlcNAc transferase activity that is termed GlcNAcT-I. Addition of GlcA (HS-GlcAT-II) and GlcNAc (GlcNAcT-II) then ensues to form an HS backbone.
* These activities are mediated by several enzymes of the EXT (EXT-1/2) and EXT-like (EXTL-1/2/3) gene family. EXTL-1, -2 and -3 all have only HexNAc transferase activity, and they were discovered after EXT1/2. EXT1/2 have dual enzyme activity.
* EXTL3 has both GlcNAcT-I activity and GlcNAcT-II activity. Thus, it participate in both chain initiation and extension. EXTL3 knockout is embryonic lethal, it is most likely responsible for adding the first GlcNAc to the tetrasaccharide linker to initiate HS chain extension by EXT1/EXT2. Homozygous mutation of EXTL3 has recently been found to cause severe developmental delay. 
* EXTL2 (α1,4-N-Acetylhexosaminyltransferase) catalyzes the transfer of a α(1-4)GlcNAc or alternatively α(1-4)GalNAc residue from UDP-GalNAc/GlcNAc to the core oligosaccharide representing the GAG-protein linker (i.e. GlcNAcT-I activity). EXTL2 is widely distributed in various mammalian tissues and cells as well as in serum. α-GalNAc activity of EXTL2 may suppress HS biosynthesis, as this can no longer be extended by EXT1/EXT2. EXTL2 knockout mice is largely normal but shown various defects when challenged with disease models.
* EXTL1 only has GlcNAcT-II activity. 
* EXT1 and EXT2 form a heterodimeric complex of Type II-proteins in cis-Golgi. EXT1-EXT2 interaction and core proteins are critical and required for the heparan chain polymerization reactions.
* EXT1 (Exostosin) and EXT2 both have GlcAT and GlcNAcT activities (i.e. they are bifunctional) and are together responsible for HS chain polymerization. Knocking out either EXT1 or EXT2 is embryonic lethal. 
* Even heterozygous mutations in EXT1 or EXT2 led to reduction in HS biosynthesis and can cause a bone disease called Exostosis.",605744,ER/Cis/Medial/Trans/TGN,GlcNAc(a1-4),,,GlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl(b1-?)Ser,GlcNAc(a1-4)GlcA(b1-3)Gal(b1-3)Gal(b1-4)Xyl(b1-?)Ser,0,0,pM,1,1,1,1,1,,,UDP,R-HSA-381038,1,1
FAM20B,,2.7.1.-,,O75063,NM_001324310.1,,No Record,NP_001311239.1,9917,GAG,Glycosaminoglycan xylosylkinase,Homo sapiens,,done,Gal(b1-4)Xyl(b1-?)-Ser,ATP,Gal(b1-4)Xyl2P(b1-?)-Ser,ADP,"* Catalyzes 2-O-phosphorylation of xylose during GAG core/protein-linkage structure biosynthesis.
* Xylose 2-O-phosphorylation may influence the catalytic activity of B3GAT3 ('GlcAT-I'). This then impacts HS, CS and DS biosynthesis.
* Cells lacking Fam20B cannot extend the tetrasaccharide linkage and thus have immature and nonfunctional proteoglycan, a phenotype remarkably similar to Ehlers-Danlos syndrome.",611063,,,,NULL,Gal(b1-4)Xyl(b1-?),Gal(b1-4)Xyl(b1-? [2P]),0,0,pM,1,1,1,1,1,Muscular/Epithelial/Connective/Nervous,Musculoskeletal/Pancreas/Bladder/Spleen/Mouth/Liver/Ovaries/Brain/Stomach/Lungs/Prostate/Eyes/Intestines/Kidney/Heart,UDP,,1,1
FCSK,,2.7.1.52,,Q8N0W3,NM_145059.2,,No Record,NP_659496.2,197258,,L-fucose kinase,Homo sapiens,,done,Fuc,ATP,Fuc1P,ADP,"* Part of the salvage pathway that convert intracellular fucose into fucose-1-phosphate, which is later transformed into GDP-Fuc.",608675,,,,NULL,Fuc,Fuc(1P),0,0,pM,1,1,1,1,1,,,null,R-HSA-6787639,1,0
FKRP,,2.4.2.-,,Q9H9S5,NM_001039885.2,K19873,No Record,NP_001034974.1,79147,O_glycanNMu,Fukutin-related protein,Homo sapiens,,done,Rib(?5-?)P(??-3)GalNAc(b1-3)GlcNAc(b1-4)Man6P(a1-?)-Ser/Thr,UDP-Xyl,Rib(?5-?)P(??-1)Rib(?5-?)P(??-3)GalNAc(b1-3)GlcNAc(b1-4)Man6P(a1-?)-Ser/Thr,UDP,"* A series of reactions occur on the core M3 O-mannosyl trisaccharide of α-dystroglycan (DAG1), and these elongate the core structure.
* Among these, first, two phospho-ribitols are added to the trisaccharide core. The first phospho-ribitol is added to GalNAc by FKTN/fukutin. The second ribitol is added by Fukutin-related protein/FKRP. Together, this results in the ribose 5-phosphate tandem repeat of DAG1.
* This unit is then primed by TMEM5 (RXYLT1) and B3GAT1 (formerly B4GAT1). * The core M3 structure can then be further extended by repeating GlcAβ(1-3)Xylα(1-3) units. This polymerization bifunctional GTs, LARGE1 (formerly LARGE) and/or its paralog LARGE2 (formerly GYLTL1B) in the Golgi apparatus.",606596,Cis/Medial/Trans/TGN,Rib(5)P(-CHAR),,,Rib(5)P(-CHAR)GalNAc(b1-3)GlcNAc(b1-4)Man(a1-?)Ser|Thr,Rib(5)P(-CHAR)Rib(5)P(-CHAR)GalNAc(b1-3)GlcNAc(b1-4)Man(a1-?)Ser|Thr,0,0,pM,0,0,0,0,0,,,UDP,,1,1
FKTN,,2.4.2.-,,O75072,NM_001079802.1,K19872,No Record,NP_001073270.1,2218,O_glycanNMu,Fukutin,Homo sapiens,,done,GalNAc(b1-3)GlcNAc(b1-4)Man6P(a1-?)-Ser/Thr,UDP-Xyl,Rib(?5-?)P(??-3)GalNAc(b1-3)GlcNAc(b1-4)Man6P(a1-?)-Ser/Thr,UDP,"* A series of reactions occur on the core M3 O-mannosyl trisaccharide of α-dystroglycan (DAG1), and these elongate the core structure.
* Among these, first, two phospho-ribitols are added to the trisaccharide core. The first phospho-ribitol is added to GalNAc by FKTN/fukutin. The second ribitol is added by Fukutin-related protein/FKRP. Together, this results in the ribose 5-phosphate tandem repeat of DAG1.
* This unit is then primed by TMEM5 (RXYLT1) and B3GAT1 (formerly B4GAT1). * The core M3 structure can then be further extended by repeating GlcAβ(1-3)Xylα(1-3) units. This polymerization bifunctional GTs, LARGE1 (formerly LARGE) and/or its paralog LARGE2 (formerly GYLTL1B) in the Golgi apparatus.",607440,Cis/Medial/Trans/TGN,Rib()P(-CHAR),,,GalNAc(b1-3)GlcNAc(b1-4)Man(a1-?)Ser|Thr,Rib()P(-CHAR)GalNAc(b1-3)GlcNAc(b1-4)Man(a1-?)Ser|Thr,0,0,pM,0,0,0,0,0,,,UDP,,1,1
FPGT,,2.7.7.30,,O14772,NM_001199328.2,,No Record,NP_001186257.2,8790,N_linked/O_linked/O_glycanNMu,Fucose-1-phosphate guanylyltransferase,Homo sapiens,None,done,Fuc1P,GTP,GDP-Fuc,PPi,"Fucose 1-phosphate guanylytranferase transfers GTP to fucose, resulting in GDP-fucose. Is an essential precursor for glycosylation via fucose salvage pathway.",603609,,,,NULL,Fuc(1P),GDP-Fuc,0,0,pM,1,1,1,1,1,Muscular/Epithelial/Connective/Nervous,Musculoskeletal/Pancreas/Bladder/Spleen/Mouth/Liver/Ovaries/Brain/Stomach/Lungs/Prostate/Eyes/Intestines/Kidney/Heart,GDP,R-HSA-6787639,1,0
FUCA1,GH29,3.2.1.51,Glycosidase,P04066,NM_000147.4,,No Record,NP_000138.2,2517,N_linked/O_glycanNMu,Tissue alpha-L-fucosidase,Homo sapiens,None,done,…Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc(b1-?),H2O,…Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-?),Fuc,"* L-α-fucosidase in humans, that cleaves α1-6 linked fucose from GlcNAc on glycoproteins. 
* It may also degrade other aspects of glycoprotein and glycolipid fucosylation.
* FUCA1 mutations are associated with fucosidosis (FUCA1D), an autosomal recessive lysosomal storage disease. These patients have intact N-glycans attached to Asn, suggesting that fucosidase activity is one of the first steps during N-glycan degradation.",612280,,,,NULL,Fuc(a1-6)GlcNAc(b1-?)Asn,GlcNAc(b1-?)Asn,0,0,pM,0,0,0,0,0,,,None_Other,R-HSA-6798695,1,1
FUCA2,GH29,3.2.1.51,Glycosidase,Q9BTY2,NM_032020.4,,No Record,NP_114409.2,2519,,Plasma alpha-L-fucosidase,Homo sapiens,None,done,…Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc(b1-?),H2O,…Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-?),Fuc,"* Cazy GH29 member that represents 10-20% of the total cellular fucosidase activity.
* It catalyzes the hydrolysis of the alpha-1,6-linked fucose on N-glycans.
* This enzyme is essential for Helicobacter pylori adhesion to human gastric cancer cells.",0,,,,NULL,Fuc(a1-6)GlcNAc(b1-?)Asn,GlcNAc(b1-?)Asn,0,0,pM,0,0,0,0,0,,,null,R-HSA-381426,1,1
FUT1,GT11,2.4.1.344,Glycosyltransferase,P19526,NM_000148.3,K00718,ko00601/ko00603/ko01100,NP_000139.1,2523,N_linked/O_linked/GSL,Galactoside 2-alpha-L-fucosyltransferase 1,Homo sapiens,,done,Gal(b1-?)GalNAc(b1-?);Gal(b1-?)GlcNAc(b1-?),GDP-Fuc;GDP-Fuc,Fuc(a1-2)Gal(b1-?)GalNAc(b1-?);Fuc(a1-2)Gal(b1-?)GlcNAc(b1-?),GDP;GDP,"* FUT1 and FUT2 α2-fucosyltransferases are encoded by the H and Se genes, respectively. Sec1 is a related pseudogene that has no functon in humans.
* FUT1 and FUT2 transfer fucose in α(1-2) linkage onto the terminal galactose of lactosamine predominantly on type 1 (Galβ1,3GlcNAcβ1-R) and type 2 (Galβ1,4GlcNAcβ1-R) chains. However, these enzymes can also work on type 3 (Galβ1,3GalNAcα1-R), type 4 (Galβ1,3GalNAcβ1-R), type 5 (Galβ1,3Galβ1-R), or type 6 (Galβ1,4Glcβ1-R) disaccharide acceptors although less efficiently.
* Final products of α2-fucosyltransferases are: CD173 or monofucosylated H type 2 (Fucα1,2Galβ1,4GlcNAcβ1-R) & CD174 or difucosylated Ley (Fucα1,2Galβ1,4[Fucα1,3]GlcNAcβ1-R).
* FUT1 (H) is expressed predominantly in erythroid tissues and primary sensory neurons (cells originating in the ecto- and meso-derm).
* Tissue specific distribution of a(1-2)FUT activity in rodent models is quite different from humans.
* The fucosylated glycan products of FUT1 and FUT2 may serve as ligands in cell adhesion or as receptors for certain microorganisms and play a role in susceptibility to infection.
* As these enzymes form blood group antigens, they are key epitopes important for transfusion medicine.",211100,Cis/Medial/Trans/TGN,Fuc(a1-2),,,Gal(b1-?)...Gal(b1-?) or Gal(b1-?)GalNAc(b1-?) or Gal(b1-?)GlcNAc(b1-?),Fuc(a1-2)Gal(b1-?)...Gal(b1-?) or Fuc(a1-2)Gal(b1-?)GalNAc(b1-?) or Fuc(a1-2)Gal(b1-?)GlcNAc(b1-?),0.00000375,1400000000,pM,1,1,1,1,1,,,GDP,R-HSA-9033807,1,1
FUT10,GT10,2.4.1.152,Glycosyltransferase,Q6P4F1,NM_032664.3,K09669,No Record,NP_116053.3,84750,N_linked,"Alpha-(1,3)-fucosyltransferase 10",Homo sapiens,nGlcNAc(b1-2)Man(a1-3)[Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc(b1-?)Asn>=1&!GlcNAc(b1-4)...Man(b1-4)&!Fuc(a1-6)...GlcNAc(b1-?)Asn,done,GlcNAc(b1-4)GlcNAc(b1-?)-Asn,GDP-Fuc,GlcNAc(b1-4)[Fuc(a1-3)]GlcNAc(b1-?)-Asn,GDP,"* FUT 10 and 11 are invertebrate and plant core α3-fucosyltransferases that are expressed in the ER (and not Golgi).
* They attach α(1,3)Fuc to the innermost core GlcNAc of the N-glycans on conalbumin glycopeptide substrates and also synthetic biantennary N-glycans.
* It is generally accepted that the core α3-fucosylation mediated by these enzymes does not occur in humans.
* However the wide spread expression of core α(1,3)Fuc in pollen, foods, parasites and insect venom may result in IgE dependent allergic reactions in humans.",0,ER,Fuc(a1-3),,,...GlcNAc(b1-?)Asn,Fuc(a1-3)...GlcNAc(b1-?)Asn,0.000038,25000000,pM,1,1,1,1,1,,,GDP,R-HSA-9037629,1,1
